ForecastDateTime	TemperatureUnit	TemperatureValue	WindSpeedUnit	WindSpeedValue	WindDirectionUnit	WindDirectionValue	RelativeHumidityUnit	RelativeHumidityValue
11/17/2024 16:30:00	°C	4.3	km/h	221	°	221		72
11/17/2024 16:30:00	°C	4.3	km/h	221	°	221		72
11/17/2024 00:00:00	°C	1.1	km/h	219	°	219		92
11/17/2024 01:00:00	°C	1.3	km/h	221	°	221		91
11/17/2024 02:00:00	°C	0.8	km/h	217	°	217		93
11/17/2024 03:00:00	°C	1.4	km/h	227	°	227		90
11/17/2024 04:00:00	°C	2.3	km/h	223	°	223		86
11/17/2024 05:00:00	°C	2.2	km/h	214	°	214		86
11/17/2024 06:00:00	°C	2.3	km/h	219	°	219		86
11/17/2024 07:00:00	°C	1.9	km/h	218	°	218		87
11/17/2024 08:00:00	°C	2.3	km/h	224	°	224		85
11/17/2024 09:00:00	°C	3.4	km/h	225	°	225		83
11/17/2024 10:00:00	°C	4.4	km/h	222	°	222		80
11/17/2024 11:00:00	°C	4.4	km/h	234	°	234		79
11/17/2024 12:00:00	°C	4.5	km/h	231	°	231		78
11/17/2024 13:00:00	°C	4.5	km/h	225	°	225		77
11/17/2024 14:00:00	°C	4.6	km/h	224	°	224		75
11/17/2024 15:00:00	°C	3.8	km/h	214	°	214		76
11/17/2024 16:00:00	°C	4.2	km/h	221	°	221		73
11/17/2024 17:00:00	°C	4.3	km/h	229	°	229		72
11/17/2024 18:00:00	°C	4.1	km/h	232	°	232		76
11/17/2024 19:00:00	°C	3.3	km/h	236	°	236		89
11/17/2024 20:00:00	°C	2.9	km/h	236	°	236		94
11/17/2024 21:00:00	°C	2.9	km/h	238	°	238		95
11/17/2024 22:00:00	°C	3.1	km/h	243	°	243		94
11/17/2024 23:00:00	°C	3.1	km/h	244	°	244		94
11/18/2024 00:00:00	°C	3.3	km/h	241	°	241		94
11/18/2024 01:00:00	°C	3.5	km/h	242	°	242		92
11/18/2024 02:00:00	°C	3.6	km/h	249	°	249		90
11/18/2024 03:00:00	°C	3.6	km/h	245	°	245		90
11/18/2024 04:00:00	°C	3.3	km/h	240	°	240		90
11/18/2024 05:00:00	°C	3.1	km/h	234	°	234		92
11/18/2024 06:00:00	°C	3	km/h	234	°	234		93
11/18/2024 07:00:00	°C	3	km/h	241	°	241		93
11/18/2024 08:00:00	°C	3.2	km/h	240	°	240		92
11/18/2024 09:00:00	°C	3.5	km/h	238	°	238		90
11/18/2024 10:00:00	°C	3.7	km/h	248	°	248		87
11/18/2024 11:00:00	°C	4.3	km/h	237	°	237		85
11/18/2024 12:00:00	°C	4.6	km/h	240	°	240		79
11/18/2024 13:00:00	°C	4.2	km/h	234	°	234		82
11/18/2024 14:00:00	°C	3.7	km/h	231	°	231		85
11/18/2024 15:00:00	°C	3	km/h	241	°	241		87
11/18/2024 16:00:00	°C	2.2	km/h	236	°	236		90
11/18/2024 17:00:00	°C	2.2	km/h	245	°	245		88
11/18/2024 18:00:00	°C	2.6	km/h	240	°	240		90
11/18/2024 19:00:00	°C	2.3	km/h	240	°	240		91
11/18/2024 20:00:00	°C	2.4	km/h	238	°	238		93
11/18/2024 21:00:00	°C	2.1	km/h	227	°	227		92
11/18/2024 22:00:00	°C	1.9	km/h	235	°	235		92
11/18/2024 23:00:00	°C	1.9	km/h	239	°	239		90
11/19/2024 00:00:00	°C	2	km/h	232	°	232		89
11/19/2024 01:00:00	°C	2	km/h	237	°	237		88
11/19/2024 02:00:00	°C	1.9	km/h	239	°	239		87
11/19/2024 03:00:00	°C	1.7	km/h	232	°	232		87
11/19/2024 04:00:00	°C	1.5	km/h	242	°	242		87
11/19/2024 05:00:00	°C	0.7	km/h	241	°	241		90
11/19/2024 06:00:00	°C	0.6	km/h	245	°	245		91
11/19/2024 07:00:00	°C	1	km/h	245	°	245		87
11/19/2024 08:00:00	°C	2	km/h	245	°	245		84
11/19/2024 09:00:00	°C	3	km/h	247	°	247		82
11/19/2024 10:00:00	°C	4	km/h	238	°	238		78
11/19/2024 11:00:00	°C	4.7	km/h	226	°	226		76
11/19/2024 12:00:00	°C	4.9	km/h	204	°	204		76
11/19/2024 13:00:00	°C	4.7	km/h	189	°	189		77
11/19/2024 14:00:00	°C	4.2	km/h	162	°	162		80
11/19/2024 15:00:00	°C	3.8	km/h	150	°	150		81
11/19/2024 16:00:00	°C	3.6	km/h	159	°	159		84
11/19/2024 17:00:00	°C	3.3	km/h	153	°	153		92
11/19/2024 18:00:00	°C	3.2	km/h	161	°	161		96
11/19/2024 19:00:00	°C	3.4	km/h	166	°	166		96
11/19/2024 20:00:00	°C	3.6	km/h	165	°	165		95
11/19/2024 21:00:00	°C	3.8	km/h	167	°	167		95
11/19/2024 22:00:00	°C	4	km/h	172	°	172		94
11/19/2024 23:00:00	°C	4.3	km/h	172	°	172		92
